"TIPO";"PERIODO";"CO_ANO";"CO_PAIS";"NO_PAIS";"CO_PAIS_ISOA3";"NO_PPE_PPI";"NO_FAT_AGREG";"VL_FOB";"KG_LIQUIDO"
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Motores,geradores e transformadores eletr.e suas partes";"Produtos Manufaturados";7541687;751118
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Moveis e suas partes, exceto medico-cirúrgicos";"Produtos Manufaturados";2403141;396622
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Mudas, enxertos e plantas vivas";"Produtos Básicos";8643;132
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Objetos de vidro para uso doméstico ou ornamentação";"Produtos Manufaturados";34966;24766
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de alumínio";"Produtos Manufaturados";342991;19329
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de borracha vulcanizada não endurecida, outras";"Produtos Manufaturados";579591;39322
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de couro natural ou reconstituído";"Produtos Manufaturados";709;1
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de ferro ou aço, outras";"Produtos Manufaturados";1749981;412165
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de gálio, háfnio, índio, nióbio, rênio e tálio";"Produtos Manufaturados";2936343;38231
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de madeira, outras";"Produtos Manufaturados";65681;276999
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de mármore e granito";"Produtos Manufaturados";819614;452957
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Obras de plástico, outras";"Produtos Manufaturados";1271899;50535
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Óleo de soja em bruto";"Produtos Semimanufaturados";15231544;23118830
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Óleos ácidos de refinação e ácidos graxos industriais";"Produtos Manufaturados";40151;16200
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Óleos brutos de petróleo";"Produtos Básicos";1330283352;4175887734
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Óleos essenciais e seus subprodutos";"Produtos Manufaturados";5850730;1816691
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Óleos lubrificantes";"Produtos Manufaturados";290277;96595
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Órgãos e substâncias de animais, p/prepar.prods.farmac.";"Produtos Básicos";89410;8
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Outs.sucos de frutas ou prods. hortícolas, cong. ou não";"Produtos Manufaturados";614900;46325
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Óxidos e hidróxidos de alumínio";"Produtos Manufaturados";2088369;6691206
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Óxidos e hidróxidos de ferro";"Produtos Manufaturados";53837;83000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Painéis de partículas e painéis semelhantes, de madeira";"Produtos Manufaturados";292787;657501
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Papel e cartão kraft, em rolos ou em folhas";"Produtos Manufaturados";535261;866735
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Papel e cartão revestidos, impregnados, recobertos,etc.";"Produtos Manufaturados";39;39
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Papel e cartão, para escrita,impressão ou fins gráficos";"Produtos Manufaturados";38152238;37823588
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Papel p/fabricação de papel higiênico, lenço ou toalha";"Produtos Manufaturados";3415;3700
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Parafusos,pinos,porcas e artefs.semelhs.de ferro ou aço";"Produtos Manufaturados";1033245;103415
